iter	Passed	Remaining
444	1210	1510
445	1214	1508
446	1219	1508
447	1229	1514
448	1232	1512
449	1236	1511
450	1239	1509
451	1243	1507
452	1245	1504
453	1250	1503
454	1252	1500
455	1259	1502
456	1263	1501
457	1267	1499
458	1272	1500
459	1275	1497
460	1278	1494
461	1281	1491
462	1286	1492
463	1293	1494
464	1297	1492
465	1303	1494
466	1306	1491
467	1312	1491
468	1318	1492
469	1320	1489
470	1322	1485
471	1326	1484
472	1328	1480
473	1331	1477
474	1334	1474
475	1337	1472
476	1342	1472
477	1346	1470
478	1348	1466
479	1350	1463
480	1353	1460
481	1357	1458
482	1359	1455
483	1363	1453
484	1366	1451
485	1370	1449
486	1372	1445
487	1374	1442
488	1378	1440
489	1380	1437
490	1385	1436
491	1387	1432
492	1392	1432
493	1395	1429
494	1400	1428
495	1401	1424
496	1404	1421
497	1407	1418
498	1410	1415
499	1412	1412
500	1415	1410
501	1418	1406
502	1421	1404
503	1423	1400
504	1426	1398
505	1428	1394
506	1431	1391
507	1435	1390
508	1437	1386
509	1439	1383
510	1443	1381
511	1445	1377
512	1447	1374
513	1458	1379
514	1460	1375
515	1462	1371
516	1464	1367
517	1466	1364
518	1468	1361
519	1470	1357
520	1473	1354
521	1475	1350
522	1477	1347
523	1480	1344
524	1483	1342
525	1485	1339
526	1488	1336
527	1490	1332
528	1492	1328
529	1493	1324
530	1497	1322
531	1499	1318
532	1500	1315
533	1503	1311
534	1505	1308
535	1506	1304
536	1508	1300
537	1510	1297
538	1512	1293
539	1514	1290
540	1516	1286
541	1518	1283
542	1520	1279
543	1523	1276
544	1525	1273
545	1527	1270
546	1529	1266
547	1532	1263
548	1534	1260
549	1536	1257
550	1538	1253
551	1540	1250
552	1543	1247
553	1545	1243
554	1547	1240
555	1549	1237
556	1552	1234
557	1553	1230
558	1556	1227
559	1557	1224
560	1559	1220
561	1561	1216
562	1563	1213
563	1565	1210
564	1567	1206
565	1569	1203
566	1572	1200
567	1573	1196
568	1575	1193
569	1577	1190
570	1579	1187
571	1582	1183
572	1584	1180
573	1586	1177
574	1588	1174
575	1590	1170
576	1593	1168
577	1595	1164
578	1597	1161
579	1600	1159
580	1603	1156
581	1606	1153
582	1611	1152
583	1614	1149
584	1617	1147
585	1619	1144
586	1622	1141
587	1625	1138
588	1627	1135
589	1629	1132
590	1632	1129
591	1633	1125
592	1635	1122
593	1637	1119
594	1640	1116
595	1642	1113
596	1643	1109
597	1645	1106
598	1647	1103
599	1649	1099
600	1651	1096
601	1654	1093
602	1655	1090
603	1657	1086
604	1659	1083
605	1662	1080
606	1664	1077
607	1665	1074
608	1668	1071
609	1670	1067
610	1671	1064
611	1673	1061
612	1676	1058
613	1678	1054
614	1680	1051
615	1682	1048
616	1684	1045
617	1686	1042
618	1688	1039
619	1690	1036
620	1692	1033
621	1694	1029
622	1696	1026
623	1699	1024
624	1701	1021
625	1704	1018
626	1706	1015
627	1709	1012
628	1711	1009
629	1713	1006
630	1716	1003
631	1720	1002
632	1723	999
633	1725	995
634	1728	993
635	1730	990
636	1732	987
637	1735	984
638	1737	981
639	1739	978
640	1741	975
641	1745	973
642	1747	970
643	1750	967
644	1753	964
645	1755	962
646	1758	959
647	1760	956
648	1763	953
649	1767	951
650	1770	949
651	1773	946
652	1775	943
653	1777	940
654	1782	938
655	1784	936
656	1789	934
657	1792	931
658	1795	929
659	1798	926
660	1805	925
661	1808	923
662	1814	922
663	1817	919
664	1822	918
665	1826	916
666	1832	914
667	1838	913
668	1844	912
669	1851	911
670	1857	910
671	1864	909
672	1869	908
673	1873	906
674	1877	904
675	1880	901
676	1885	899
677	1890	897
678	1895	895
679	1901	894
680	1910	894
681	1912	891
682	1916	889
683	1919	886
684	1924	885
685	1928	882
686	1932	880
687	1936	878
688	1941	876
689	1951	876
690	1957	875
691	1960	872
692	1964	870
693	1967	867
694	1972	865
695	1977	863
696	1981	861
697	1986	859
698	1989	856
699	1997	855
700	2003	854
701	2007	852
702	2015	851
703	2018	848
704	2023	846
705	2026	843
706	2030	841
707	2033	838
708	2039	837
709	2044	835
710	2049	833
711	2053	830
712	2056	827
713	2060	825
714	2064	822
715	2067	820
716	2070	817
717	2072	814
718	2078	812
719	2081	809
720	2086	807
721	2093	805
722	2097	803
723	2102	801
724	2116	802
725	2122	801
726	2126	798
727	2131	796
728	2135	793
729	2140	791
730	2144	789
731	2149	786
732	2155	785
733	2157	782
734	2161	779
735	2163	776
736	2167	773
737	2171	770
738	2176	768
739	2179	765
740	2182	762
741	2185	759
742	2187	756
743	2191	754
744	2194	751
745	2198	748
746	2202	745
747	2207	743
748	2212	741
749	2215	738
750	2217	735
751	2222	732
752	2223	729
753	2227	726
754	2230	723
755	2235	721
756	2238	718
757	2240	715
758	2245	713
759	2247	709
760	2251	707
761	2255	704
762	2260	702
763	2262	699
764	2266	696
765	2269	693
766	2273	690
767	2275	687
768	2277	684
769	2281	681
770	2285	678
771	2289	676
772	2293	673
773	2296	670
774	2299	667
775	2306	665
776	2310	663
777	2313	660
778	2316	657
779	2318	654
780	2320	650
781	2324	647
782	2326	644
783	2329	641
784	2332	638
785	2335	635
786	2338	632
787	2342	630
788	2347	627
789	2349	624
790	2353	621
791	2356	618
792	2358	615
793	2361	612
794	2363	609
795	2365	606
796	2369	603
797	2371	600
798	2373	597
799	2378	594
800	2380	591
801	2382	588
802	2385	585
803	2388	582
804	2393	579
805	2396	576
806	2400	574
807	2407	572
808	2411	569
809	2418	567
810	2425	565
811	2427	562
812	2430	559
813	2432	555
814	2434	552
815	2439	549
816	2442	546
817	2446	544
818	2448	541
819	2451	538
820	2454	535
821	2456	531
822	2460	529
823	2462	525
824	2464	522
825	2470	520
826	2475	517
827	2477	514
828	2481	511
829	2484	508
830	2486	505
831	2489	502
832	2491	499
833	2492	496
834	2494	492
835	2513	493
836	2516	490
837	2519	487
838	2522	484
839	2524	480
840	2527	477
841	2529	474
842	2532	471
843	2535	468
844	2538	465
845	2540	462
846	2543	459
847	2545	456
848	2547	453
849	2550	450
850	2552	446
851	2554	443
852	2556	440
853	2558	437
854	2560	434
855	2563	431
856	2566	428
857	2568	425
858	2570	421
859	2572	418
860	2574	415
861	2576	412
862	2578	409
863	2580	406
864	2582	403
865	2585	400
866	2588	397
867	2591	394
868	2594	391
869	2596	387
870	2598	384
871	2601	381
872	2604	378
873	2606	375
874	2608	372
875	2611	369
876	2613	366
877	2617	363
878	2619	360
879	2621	357
880	2624	354
881	2626	351
882	2628	348
883	2630	345
884	2632	342
885	2635	339
886	2636	335
887	2640	333
888	2642	329
889	2644	326
890	2647	323
891	2649	320
892	2652	317
893	2654	314
894	2656	311
895	2658	308
896	2662	305
897	2664	302
898	2666	299
899	2668	296
900	2671	293
901	2672	290
902	2674	287
903	2677	284
904	2679	281
905	2681	278
906	2685	275
907	2687	272
908	2689	269
909	2691	266
910	2693	263
911	2696	260
912	2699	257
913	2701	254
914	2703	251
915	2707	248
916	2709	245
917	2712	242
918	2715	239
919	2717	236
920	2719	233
921	2722	230
922	2724	227
923	2726	224
924	2730	221
925	2732	218
926	2734	215
927	2737	212
928	2739	209
929	2741	206
930	2745	203
931	2747	200
932	2749	197
933	2751	194
934	2753	191
935	2756	188
936	2760	185
937	2762	182
938	2764	179
939	2767	176
940	2769	173
941	2771	170
942	2774	167
943	2776	164
944	2778	161
945	2780	158
946	2783	155
947	2786	152
948	2788	149
949	2791	146
950	2793	143
951	2795	140
952	2798	138
953	2801	135
954	2804	132
955	2806	129
956	2808	126
957	2810	123
958	2813	120
959	2815	117
960	2820	114
961	2824	111
962	2827	108
963	2829	105
964	2832	102
965	2835	99
966	2837	96
967	2839	93
968	2843	90
969	2845	88
970	2847	85
971	2851	82
972	2854	79
973	2858	76
974	2861	73
975	2864	70
976	2866	67
977	2868	64
978	2870	61
979	2872	58
980	2875	55
981	2877	52
982	2880	49
983	2882	46
984	2884	43
985	2887	40
986	2889	38
987	2891	35
988	2894	32
989	2897	29
990	2899	26
991	2901	23
992	2904	20
993	2906	17
994	2909	14
995	2912	11
996	2914	8
997	2916	5
998	2919	2
999	2922	0
